,Wind speed (knots)04h,Wind speed (knots)06h,Wind speed (knots)08h,Wind speed (knots)10h,Wind speed (knots)12h,Wind speed (knots)14h,Wind speed (knots)16h,Wind speed (knots)18h,Wind direction (°Deg)04h,Wind direction (°Deg)06h,Wind direction (°Deg)08h,Wind direction (°Deg)10h,Wind direction (°Deg)12h,Wind direction (°Deg)14h,Wind direction (°Deg)16h,Wind direction (°Deg)18h,Wind gusts (knots)04h,Wind gusts (knots)06h,Wind gusts (knots)08h,Wind gusts (knots)10h,Wind gusts (knots)12h,Wind gusts (knots)14h,Wind gusts (knots)16h,Wind gusts (knots)18h,Wave (m)04h,Wave (m)06h,Wave (m)08h,Wave (m)10h,Wave (m)12h,Wave (m)14h,Wave (m)16h,Wave (m)18h,Wave direction (°Deg)04h,Wave direction (°Deg)06h,Wave direction (°Deg)08h,Wave direction (°Deg)10h,Wave direction (°Deg)12h,Wave direction (°Deg)14h,Wave direction (°Deg)16h,Wave direction (°Deg)18h,Wave period (s)04h,Wave period (s)06h,Wave period (s)08h,Wave period (s)10h,Wave period (s)12h,Wave period (s)14h,Wave period (s)16h,Wave period (s)18h
21.08.2021,6.0,6.0,6.0,11.0,13.0,15.0,15.0,11.0,495.0,491.0,483.0,436.0,417.0,411.0,413.0,426.0,6.0,6.0,7.0,12.0,13.0,15.0,15.0,14.0,2.4,2.4,2.3,2.3,2.3,2.2,2.2,2.2,393.0,393.0,393.0,393.0,393.0,394.0,394.0,395.0,14.0,14.0,14.0,14.0,14.0,13.0,13.0,13.0
22.08.2021,9.0,8.0,6.0,2.0,5.0,13.0,9.0,4.0,477.0,497.0,498.0,492.0,320.0,345.0,376.0,378.0,12.0,8.0,6.0,3.0,5.0,10.0,8.0,4.0,2.0,2.0,1.9,1.9,2.0,2.0,2.1,2.1,398.0,399.0,399.0,399.0,399.0,398.0,398.0,397.0,13.0,13.0,12.0,12.0,12.0,12.0,12.0,12.0
23.08.2021,5.0,4.0,4.0,3.0,6.0,9.0,9.0,6.0,518.0,529.0,527.0,197.0,304.0,307.0,305.0,296.0,5.0,3.0,4.0,3.0,4.0,7.0,8.0,6.0,1.9,1.9,2.0,2.1,2.1,2.2,2.2,2.2,400.0,399.0,399.0,399.0,399.0,401.0,402.0,402.0,12.0,12.0,12.0,12.0,12.0,11.0,11.0,11.0
24.08.2021,9.0,8.0,7.0,14.0,14.0,18.0,18.0,11.0,455.0,513.0,447.0,441.0,431.0,422.0,418.0,430.0,16.0,9.0,8.0,16.0,15.0,19.0,22.0,18.0,2.4,2.6,2.8,3.1,3.4,3.7,3.8,3.9,404.0,383.0,372.0,374.0,374.0,378.0,382.0,386.0,11.0,18.0,20.0,19.0,19.0,17.0,17.0,16.0
25.08.2021,5.0,5.0,3.0,5.0,8.0,12.0,12.0,14.0,489.0,515.0,182.0,259.0,316.0,325.0,297.0,275.0,5.0,4.0,3.0,7.0,7.0,9.0,12.0,16.0,3.3,3.2,3.0,3.0,2.9,2.8,2.8,2.8,394.0,395.0,397.0,398.0,398.0,399.0,401.0,402.0,14.0,14.0,14.0,14.0,13.0,13.0,13.0,13.0
26.08.2021,7.0,16.0,10.0,7.0,11.0,8.0,9.0,4.0,500.0,427.0,438.0,411.0,355.0,356.0,337.0,352.0,7.0,16.0,14.0,8.0,12.0,10.0,11.0,4.0,2.4,2.4,2.4,2.5,2.5,2.5,2.7,3.1,404.0,404.0,404.0,403.0,404.0,401.0,400.0,397.0,13.0,13.0,13.0,13.0,13.0,14.0,14.0,14.0
27.08.2021,17.0,21.0,18.0,17.0,18.0,25.0,24.0,23.0,424.0,444.0,435.0,448.0,445.0,430.0,435.0,444.0,19.0,24.0,22.0,21.0,23.0,26.0,29.0,32.0,3.8,3.9,3.8,3.8,3.8,4.1,4.3,4.5,400.0,400.0,400.0,400.0,404.0,404.0,405.0,406.0,15.0,15.0,14.0,14.0,14.0,14.0,13.0,13.0
28.08.2021,12.0,12.0,17.0,16.0,24.0,24.0,20.0,12.0,495.0,500.0,465.0,433.0,449.0,437.0,419.0,411.0,16.0,16.0,27.0,22.0,29.0,29.0,24.0,16.0,3.5,3.5,4.3,4.3,4.2,4.5,4.2,3.8,409.0,406.0,405.0,403.0,401.0,401.0,402.0,403.0,13.0,13.0,13.0,13.0,13.0,12.0,12.0,12.0
29.08.2021,7.0,7.0,7.0,8.0,8.0,5.0,7.0,7.0,520.0,522.0,529.0,537.0,525.0,497.0,338.0,326.0,6.0,7.0,8.0,10.0,9.0,7.0,8.0,7.0,3.6,3.5,3.5,3.4,3.3,3.2,3.0,2.9,400.0,398.0,397.0,398.0,398.0,399.0,399.0,399.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0
30.08.2021,9.0,8.0,6.0,8.0,9.0,13.0,11.0,5.0,506.0,493.0,478.0,432.0,408.0,394.0,394.0,418.0,10.0,9.0,9.0,11.0,11.0,16.0,15.0,6.0,2.7,3.0,3.1,3.2,3.3,3.4,3.6,3.9,398.0,399.0,400.0,401.0,403.0,404.0,388.0,388.0,13.0,13.0,13.0,13.0,13.0,13.0,17.0,16.0
31.08.2021,8.0,10.0,20.0,21.0,23.0,29.0,26.0,21.0,478.0,466.0,442.0,439.0,439.0,433.0,434.0,429.0,12.0,16.0,27.0,27.0,29.0,33.0,34.0,28.0,3.4,3.3,3.4,3.5,3.8,4.1,4.4,4.6,399.0,400.0,403.0,404.0,403.0,404.0,403.0,406.0,14.0,14.0,14.0,14.0,13.0,13.0,12.0,12.0
01.09.2021,5.0,3.0,6.0,3.0,6.0,8.0,10.0,10.0,476.0,479.0,478.0,435.0,320.0,306.0,289.0,276.0,7.0,3.0,6.0,3.0,3.0,7.0,10.0,12.0,3.4,3.2,3.1,3.1,3.0,2.9,2.8,2.6,405.0,404.0,403.0,402.0,401.0,400.0,401.0,400.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,11.0
02.09.2021,5.0,5.0,5.0,5.0,6.0,10.0,16.0,14.0,538.0,508.0,513.0,269.0,302.0,317.0,304.0,282.0,5.0,4.0,4.0,12.0,10.0,13.0,16.0,18.0,2.6,2.6,2.7,2.8,3.0,2.8,2.9,2.8,398.0,396.0,394.0,392.0,391.0,390.0,305.0,307.0,11.0,11.0,11.0,11.0,11.0,11.0,8.0,9.0
03.09.2021,7.0,16.0,22.0,18.0,15.0,15.0,11.0,8.0,458.0,448.0,431.0,421.0,417.0,393.0,387.0,415.0,9.0,23.0,28.0,19.0,15.0,16.0,14.0,11.0,2.2,2.2,2.4,2.4,2.3,2.2,2.2,2.2,360.0,360.0,359.0,356.0,353.0,349.0,346.0,344.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
04.09.2021,3.0,3.0,6.0,5.0,6.0,4.0,13.0,15.0,491.0,202.0,216.0,231.0,300.0,319.0,296.0,275.0,3.0,3.0,9.0,8.0,7.0,7.0,11.0,18.0,2.2,2.1,2.0,1.9,2.0,2.2,2.4,2.4,398.0,396.0,395.0,398.0,404.0,408.0,409.0,411.0,10.0,10.0,10.0,10.0,10.0,11.0,12.0,12.0
05.09.2021,10.0,9.0,10.0,8.0,11.0,14.0,9.0,9.0,460.0,457.0,423.0,412.0,377.0,355.0,378.0,409.0,14.0,13.0,10.0,8.0,10.0,12.0,11.0,11.0,2.0,2.1,2.1,2.1,2.2,2.3,2.3,2.3,418.0,417.0,416.0,415.0,414.0,414.0,413.0,413.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0
06.09.2021,13.0,12.0,13.0,16.0,16.0,14.0,15.0,13.0,432.0,440.0,432.0,427.0,413.0,407.0,409.0,416.0,17.0,17.0,17.0,18.0,17.0,14.0,15.0,15.0,3.3,3.3,3.1,3.0,2.8,2.6,2.5,2.4,410.0,411.0,412.0,413.0,415.0,416.0,416.0,416.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0
07.09.2021,5.0,5.0,4.0,6.0,10.0,12.0,16.0,13.0,504.0,491.0,515.0,269.0,301.0,288.0,280.0,257.0,5.0,4.0,4.0,9.0,9.0,10.0,14.0,15.0,2.5,2.5,2.4,2.3,2.2,2.1,2.1,2.1,411.0,411.0,407.0,407.0,407.0,405.0,404.0,406.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0
08.09.2021,6.0,7.0,8.0,7.0,10.0,13.0,13.0,10.0,517.0,523.0,520.0,474.0,381.0,391.0,399.0,419.0,6.0,7.0,9.0,8.0,10.0,13.0,15.0,15.0,2.1,2.0,2.0,1.9,1.9,1.9,1.9,1.9,402.0,402.0,402.0,402.0,401.0,398.0,397.0,396.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0
09.09.2021,7.0,6.0,6.0,13.0,16.0,21.0,22.0,20.0,502.0,527.0,192.0,248.0,262.0,273.0,271.0,260.0,6.0,6.0,8.0,17.0,19.0,22.0,26.0,32.0,2.5,2.6,2.6,2.5,2.5,2.5,2.6,2.7,394.0,395.0,396.0,398.0,399.0,399.0,402.0,401.0,14.0,14.0,14.0,14.0,13.0,13.0,13.0,13.0
10.09.2021,6.0,6.0,6.0,14.0,17.0,20.0,14.4,12.2,538.0,186.0,187.0,515.0,494.0,409.0,355.7,352.2,5.0,5.0,9.0,20.0,21.0,26.0,16.0,15.2,2.7,2.6,2.5,2.4,2.3,2.2,2.3,2.3,289.0,286.0,284.0,286.0,284.0,299.0,383.3,383.7,9.0,9.0,9.0,9.0,9.0,10.0,11.7,11.7
11.09.2021,8.2,8.1,8.7,10.5,13.0,15.0,7.0,6.0,405.0,402.3,389.5,368.2,364.5,332.0,358.0,364.0,10.9,10.7,11.0,11.8,13.5,19.0,8.0,6.0,2.3,2.3,2.3,2.3,2.3,1.6,1.6,1.6,385.4,384.7,384.7,384.9,384.7,351.0,365.0,396.0,11.7,11.7,11.7,11.7,11.6,10.0,11.0,11.0
12.09.2021,5.0,3.0,3.0,5.0,10.0,11.0,10.0,9.0,446.0,464.0,459.0,308.0,328.0,327.0,334.0,358.0,5.0,3.0,3.0,5.0,9.0,12.0,12.0,13.0,1.9,2.0,2.2,2.3,2.4,2.5,2.5,2.5,413.0,409.0,401.0,405.0,405.0,409.0,403.0,402.0,11.0,13.0,14.0,14.0,13.0,13.0,15.0,14.0
13.09.2021,8.0,11.0,10.0,8.0,8.0,6.0,4.0,4.0,417.0,403.0,394.0,382.0,361.0,367.0,352.0,321.0,10.0,13.0,13.0,10.0,9.0,7.0,6.0,5.0,2.6,2.6,2.6,2.5,2.5,2.4,2.4,2.4,406.0,409.0,409.0,409.0,409.0,409.0,404.0,405.0,13.0,13.0,13.0,13.0,13.0,12.0,14.0,14.0
14.09.2021,7.0,11.0,12.0,14.0,17.0,22.0,24.0,22.0,341.0,436.0,464.0,458.0,437.0,433.0,430.0,435.0,10.0,12.0,14.0,17.0,17.0,22.0,27.0,30.0,2.3,2.2,2.2,2.1,2.2,2.3,2.4,2.5,408.0,409.0,409.0,409.0,409.0,407.0,407.0,408.0,12.0,12.0,12.0,12.0,12.0,11.0,11.0,11.0
15.09.2021,14.0,13.0,12.0,17.0,17.0,19.0,17.0,14.0,420.0,425.0,450.0,426.0,417.0,417.0,417.0,424.0,20.0,19.0,17.0,17.0,17.0,19.0,19.0,16.0,2.2,2.3,2.2,2.1,2.0,2.1,2.1,1.9,406.0,385.0,384.0,401.0,403.0,402.0,404.0,402.0,10.0,7.0,7.0,10.0,10.0,7.0,7.0,10.0
16.09.2021,8.0,8.0,9.0,15.0,10.0,12.0,18.0,14.0,480.0,485.0,475.0,432.0,374.0,408.0,401.0,418.0,10.0,9.0,15.0,17.0,12.0,15.0,18.0,19.0,1.5,1.5,1.6,1.6,1.7,1.8,1.9,2.0,390.0,390.0,389.0,389.0,390.0,391.0,393.0,393.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
17.09.2021,11.0,10.0,7.0,5.0,6.0,8.0,9.0,7.0,455.0,451.0,415.0,417.0,370.0,350.0,331.0,318.0,20.0,16.0,11.0,8.0,6.0,8.0,8.0,8.0,2.2,2.3,2.4,2.5,2.7,2.8,2.9,3.0,390.0,388.0,384.0,383.0,382.0,380.0,374.0,374.0,10.0,10.0,10.0,11.0,11.0,12.0,13.0,13.0
18.09.2021,6.0,6.0,9.0,16.0,17.0,22.0,20.0,22.0,209.0,206.0,230.0,252.0,269.0,282.0,274.0,263.0,8.0,9.0,16.0,18.0,19.0,21.0,23.0,31.0,2.7,2.6,2.5,2.4,2.4,2.4,2.4,2.6,380.0,380.0,381.0,382.0,382.0,382.0,382.0,383.0,13.0,13.0,12.0,12.0,12.0,12.0,12.0,12.0
19.09.2021,6.0,3.0,7.0,13.0,19.0,24.0,19.0,15.0,216.0,500.0,522.0,419.0,420.0,422.0,426.0,431.0,8.0,3.0,9.0,14.0,19.0,25.0,22.0,24.0,2.7,2.5,2.3,2.1,2.1,2.3,2.3,2.2,281.0,284.0,284.0,283.0,351.0,339.0,339.0,338.0,8.0,8.0,8.0,8.0,10.0,10.0,10.0,10.0
20.09.2021,8.0,8.0,11.0,12.0,21.0,27.0,31.0,30.0,476.0,481.0,441.0,434.0,424.0,425.0,433.0,437.0,9.0,11.0,18.0,14.0,23.0,27.0,37.0,42.0,1.9,1.9,2.1,2.1,2.2,2.4,3.4,3.8,352.0,359.0,372.0,383.0,388.0,393.0,421.0,423.0,9.0,9.0,9.0,9.0,9.0,9.0,8.0,9.0
21.09.2021,15.0,14.0,14.0,14.0,11.0,12.0,10.0,6.0,431.0,461.0,455.0,439.0,403.0,374.0,356.0,362.0,20.0,21.0,17.0,13.0,9.0,10.0,8.0,7.0,3.5,3.5,3.5,3.3,3.2,3.1,3.0,2.9,405.0,404.0,402.0,400.0,399.0,398.0,396.0,395.0,10.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0
22.09.2021,5.0,6.0,7.0,13.0,15.0,19.0,21.0,18.0,196.0,206.0,233.0,258.0,275.0,284.0,273.0,264.0,7.0,8.0,13.0,15.0,15.0,17.0,23.0,27.0,2.3,2.2,2.1,2.1,2.1,2.2,2.3,2.5,402.0,403.0,403.0,402.0,401.0,402.0,400.0,399.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0
23.09.2021,4.0,5.0,8.0,18.0,17.0,17.0,19.0,18.0,227.0,197.0,527.0,502.0,416.0,410.0,412.0,434.0,4.0,5.0,10.0,22.0,19.0,21.0,24.0,29.0,2.4,2.3,2.3,2.2,2.1,2.1,2.1,2.2,396.0,396.0,399.0,399.0,400.0,400.0,400.0,400.0,13.0,13.0,13.0,13.0,13.0,12.0,12.0,12.0
24.09.2021,9.0,6.0,7.0,11.0,14.0,14.0,10.0,6.0,454.0,482.0,464.0,405.0,396.0,395.0,386.0,370.0,16.0,10.0,10.0,11.0,14.0,14.0,11.0,8.0,2.5,2.4,2.2,2.1,2.0,2.0,2.0,2.0,404.0,399.0,397.0,396.0,392.0,392.0,394.0,395.0,9.0,11.0,12.0,12.0,11.0,11.0,11.0,10.0
25.09.2021,4.0,3.0,4.0,3.0,11.0,10.0,12.0,9.0,182.0,181.0,200.0,306.0,364.0,375.0,401.0,410.0,4.0,3.0,4.0,4.0,11.0,10.0,14.0,12.0,1.9,1.9,1.8,1.8,1.8,1.7,1.7,1.7,405.0,406.0,407.0,407.0,408.0,409.0,412.0,413.0,10.0,10.0,10.0,10.0,10.0,11.0,11.0,11.0
26.09.2021,6.0,5.0,7.0,7.0,11.0,10.0,11.0,11.0,471.0,470.0,436.0,365.0,333.0,330.0,310.0,302.0,14.0,8.0,9.0,6.0,8.0,9.0,12.0,15.0,2.4,2.7,3.1,3.4,3.7,3.9,3.8,3.7,407.0,408.0,398.0,400.0,397.0,388.0,388.0,393.0,11.0,11.0,13.0,13.0,13.0,15.0,15.0,15.0
27.09.2021,9.0,5.0,13.0,23.0,31.0,27.0,22.0,18.0,233.0,195.0,433.0,434.0,435.0,432.0,425.0,423.0,14.0,5.0,17.0,26.0,34.0,31.0,28.0,24.0,3.0,3.0,3.1,3.4,3.7,3.7,3.5,3.2,400.0,400.0,398.0,395.0,392.0,389.0,394.0,392.0,13.0,13.0,13.0,13.0,13.0,12.0,12.0,12.0
28.09.2021,14.0,13.0,11.0,10.0,13.0,16.0,15.0,11.0,436.0,445.0,449.0,425.0,397.0,395.0,402.0,405.0,18.0,17.0,16.0,10.0,12.0,15.0,15.0,14.0,2.5,2.4,2.3,2.2,2.1,2.1,2.0,2.0,387.0,383.0,376.0,370.0,369.0,367.0,366.0,366.0,11.0,11.0,11.0,12.0,12.0,12.0,11.0,11.0
29.09.2021,8.0,8.0,10.0,5.0,13.0,18.0,22.0,22.0,476.0,473.0,455.0,384.0,311.0,307.0,304.0,299.0,10.0,10.0,13.0,6.0,12.0,19.0,23.0,23.0,2.1,2.2,2.2,2.2,2.4,2.6,2.9,3.1,386.0,389.0,392.0,405.0,404.0,400.0,395.0,395.0,10.0,10.0,10.0,11.0,12.0,12.0,13.0,13.0
30.09.2021,18.0,18.0,18.0,18.0,20.0,21.0,24.0,22.0,269.0,263.0,270.0,265.0,269.0,284.0,288.0,278.0,22.0,23.0,25.0,25.0,27.0,27.0,28.0,30.0,2.8,2.8,2.8,2.8,2.8,2.9,3.0,3.1,396.0,395.0,394.0,392.0,391.0,391.0,391.0,377.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,11.0
01.10.2021,2.0,3.0,7.0,10.0,16.0,17.0,12.0,10.0,524.0,274.0,431.0,438.0,426.0,410.0,388.0,370.0,4.0,6.0,11.0,12.0,17.0,21.0,14.0,11.0,2.8,2.7,2.5,2.4,2.3,2.4,2.3,2.2,391.0,391.0,388.0,387.0,387.0,388.0,389.0,378.0,12.0,12.0,12.0,11.0,11.0,11.0,11.0,11.0
02.10.2021,16.0,15.0,21.0,30.0,25.0,26.0,28.0,26.0,440.0,449.0,442.0,441.0,436.0,432.0,429.0,423.0,22.0,22.0,29.0,33.0,32.0,32.0,35.0,37.0,2.2,2.3,2.5,2.8,3.2,3.7,4.4,4.8,390.0,390.0,424.0,422.0,413.0,411.0,406.0,406.0,12.0,12.0,7.0,7.0,8.0,9.0,10.0,11.0
03.10.2021,13.0,14.0,14.0,14.0,17.0,18.0,17.0,14.0,471.0,474.0,466.0,436.0,417.0,412.0,412.0,414.0,21.0,21.0,20.0,13.0,14.0,15.0,17.0,17.0,3.7,3.6,3.4,3.3,3.1,3.0,2.9,2.8,398.0,397.0,397.0,397.0,397.0,398.0,398.0,399.0,12.0,12.0,12.0,11.0,11.0,11.0,11.0,11.0
04.10.2021,5.0,7.0,5.0,11.0,9.0,10.0,9.0,9.0,494.0,495.0,469.0,433.0,374.0,360.0,333.0,276.0,5.0,7.0,6.0,9.0,8.0,8.0,8.0,11.0,2.3,2.2,2.2,2.1,2.0,2.0,1.9,1.9,392.0,390.0,387.0,384.0,374.0,372.0,370.0,369.0,11.0,11.0,10.0,10.0,10.0,10.0,10.0,9.0
05.10.2021,6.0,6.0,6.0,11.0,17.0,21.0,21.0,16.0,221.0,214.0,229.0,271.0,303.0,302.0,287.0,278.0,10.0,10.0,12.0,13.0,14.0,18.0,19.0,18.0,1.7,1.6,1.6,1.5,1.5,1.5,1.6,1.5,352.0,349.0,346.0,344.0,339.0,337.0,336.0,335.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,8.0
