,Wind speed (knots)04h,Wind speed (knots)06h,Wind speed (knots)08h,Wind speed (knots)10h,Wind speed (knots)12h,Wind speed (knots)14h,Wind speed (knots)16h,Wind speed (knots)18h,Wind direction (°Deg)04h,Wind direction (°Deg)06h,Wind direction (°Deg)08h,Wind direction (°Deg)10h,Wind direction (°Deg)12h,Wind direction (°Deg)14h,Wind direction (°Deg)16h,Wind direction (°Deg)18h,Wind gusts (knots)04h,Wind gusts (knots)06h,Wind gusts (knots)08h,Wind gusts (knots)10h,Wind gusts (knots)12h,Wind gusts (knots)14h,Wind gusts (knots)16h,Wind gusts (knots)18h,Wave (m)04h,Wave (m)06h,Wave (m)08h,Wave (m)10h,Wave (m)12h,Wave (m)14h,Wave (m)16h,Wave (m)18h,Wave direction (°Deg)04h,Wave direction (°Deg)06h,Wave direction (°Deg)08h,Wave direction (°Deg)10h,Wave direction (°Deg)12h,Wave direction (°Deg)14h,Wave direction (°Deg)16h,Wave direction (°Deg)18h,Wave period (s)04h,Wave period (s)06h,Wave period (s)08h,Wave period (s)10h,Wave period (s)12h,Wave period (s)14h,Wave period (s)16h,Wave period (s)18h
06.10.2021,5.0,5.0,4.0,10.0,17.0,21.0,19.0,14.0,230.0,184.0,209.0,311.0,307.0,303.0,285.0,282.0,11.0,7.0,7.0,12.0,14.0,20.0,18.0,17.0,1.3,1.2,1.2,1.2,1.2,1.3,1.5,1.6,329.0,329.0,330.0,332.0,326.0,327.0,326.0,303.0,8.0,8.0,8.0,8.0,8.0,8.0,7.0,7.0
07.10.2021,9.0,9.0,12.0,14.0,19.0,22.0,19.0,10.0,245.0,236.0,252.0,269.0,283.0,282.0,276.0,291.0,15.0,15.0,16.0,16.0,18.0,21.0,22.0,12.0,1.8,1.8,1.8,1.9,2.1,2.3,2.4,2.4,394.0,394.0,394.0,287.0,283.0,283.0,281.0,279.0,14.0,13.0,13.0,7.0,7.0,7.0,7.0,8.0
08.10.2021,8.0,8.0,12.0,11.0,15.0,16.0,16.0,13.0,447.0,463.0,442.0,406.0,386.0,386.0,400.0,418.0,8.0,10.0,15.0,12.0,14.0,18.0,18.0,16.0,1.9,1.8,1.7,1.7,1.6,1.6,1.6,1.7,281.0,282.0,403.0,401.0,395.0,396.0,396.0,396.0,9.0,9.0,12.0,12.0,12.0,11.0,11.0,11.0
09.10.2021,15.0,17.0,24.0,29.0,26.0,24.0,20.0,16.0,446.0,447.0,442.0,440.0,428.0,420.0,412.0,415.0,24.0,26.0,33.0,34.0,30.0,28.0,24.0,20.0,2.1,2.3,2.6,2.9,3.1,2.9,2.5,2.4,396.0,397.0,425.0,430.0,429.0,426.0,417.0,408.0,10.0,10.0,8.0,8.0,8.0,8.0,8.0,9.0
10.10.2021,7.0,7.0,4.0,7.0,15.0,20.0,23.0,19.0,457.0,487.0,207.0,275.0,302.0,308.0,287.0,268.0,8.0,7.0,4.0,7.0,11.0,16.0,21.0,22.0,2.4,2.4,2.4,2.3,2.3,2.3,2.3,2.4,392.0,392.0,392.0,392.0,392.0,392.0,392.0,392.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,11.0
11.10.2021,5.0,5.0,5.0,5.0,3.0,2.0,7.0,4.0,214.0,191.0,194.0,264.0,522.0,278.0,342.0,407.0,5.0,5.0,6.0,8.0,13.0,10.0,9.0,4.0,2.0,1.9,1.8,1.8,1.7,1.6,1.6,1.5,396.0,398.0,399.0,401.0,403.0,404.0,405.0,404.0,13.0,13.0,13.0,12.0,12.0,12.0,12.0,12.0
12.10.2021,9.0,9.0,10.0,11.0,12.0,12.0,8.0,4.0,438.0,448.0,432.0,399.0,366.0,361.0,363.0,375.0,14.0,15.0,13.0,12.0,11.0,11.0,9.0,4.0,1.4,1.4,1.4,1.4,1.4,1.3,1.3,1.3,391.0,383.0,380.0,378.0,378.0,371.0,372.0,397.0,11.0,11.0,10.0,10.0,10.0,10.0,10.0,13.0
13.10.2021,4.0,3.0,3.0,5.0,12.0,11.0,7.0,2.0,537.0,192.0,250.0,297.0,322.0,318.0,338.0,293.0,3.0,3.0,4.0,5.0,9.0,12.0,8.0,3.0,1.4,1.5,1.5,1.5,1.5,1.5,1.5,1.5,405.0,405.0,405.0,405.0,405.0,405.0,406.0,407.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0
14.10.2021,6.0,13.0,20.0,31.0,30.0,23.0,20.0,13.0,443.0,439.0,432.0,438.0,424.0,412.0,408.0,388.0,5.0,18.0,28.0,37.0,35.0,29.0,23.0,15.0,1.3,1.4,1.7,3.0,3.4,3.3,3.3,3.0,409.0,409.0,408.0,418.0,420.0,417.0,415.0,418.0,12.0,12.0,12.0,7.0,8.0,10.0,11.0,11.0
15.10.2021,9.0,7.0,6.0,2.0,7.0,17.0,18.0,15.0,234.0,227.0,217.0,309.0,356.0,391.0,402.0,413.0,14.0,14.0,10.0,4.0,8.0,17.0,18.0,17.0,2.3,2.3,2.2,2.1,2.1,2.1,2.2,2.2,407.0,404.0,397.0,395.0,399.0,401.0,401.0,402.0,10.0,10.0,10.0,10.0,10.0,11.0,11.0,11.0
16.10.2021,21.0,20.0,24.0,26.0,28.0,30.0,35.0,23.0,439.0,439.0,440.0,438.0,426.0,431.0,434.0,432.0,27.0,27.0,29.0,29.0,27.0,35.0,45.0,33.0,2.9,3.2,3.2,3.3,3.5,3.8,4.6,4.7,404.0,404.0,400.0,404.0,407.0,410.0,416.0,411.0,10.0,10.0,11.0,11.0,10.0,10.0,10.0,11.0
17.10.2021,17.0,15.0,21.0,20.0,18.0,23.0,20.0,17.0,455.0,462.0,451.0,439.0,443.0,429.0,413.0,399.0,23.0,24.0,29.0,24.0,24.0,26.0,25.0,20.0,4.9,4.7,4.6,4.4,4.3,4.2,4.1,4.0,395.0,394.0,395.0,396.0,397.0,398.0,399.0,399.0,14.0,14.0,13.0,13.0,13.0,13.0,13.0,13.0
18.10.2021,7.0,7.0,9.0,9.0,13.0,17.0,10.0,10.0,462.0,469.0,447.0,419.0,378.0,379.0,378.0,379.0,9.0,8.0,10.0,9.0,11.0,15.0,10.0,10.0,3.0,2.9,2.7,2.6,2.5,2.4,2.3,2.2,401.0,401.0,400.0,399.0,398.0,397.0,397.0,397.0,12.0,12.0,12.0,12.0,11.0,11.0,11.0,11.0
19.10.2021,6.0,7.0,5.0,6.0,13.0,18.0,20.0,16.0,508.0,511.0,515.0,298.0,319.0,309.0,298.0,279.0,5.0,6.0,5.0,6.0,11.0,17.0,19.0,16.0,1.7,1.7,1.6,1.6,1.7,1.7,1.8,1.8,397.0,397.0,397.0,396.0,395.0,390.0,389.0,388.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
20.10.2021,9.0,8.0,7.0,9.0,15.0,23.0,21.0,16.0,238.0,244.0,244.0,289.0,309.0,298.0,281.0,269.0,13.0,10.0,8.0,8.0,12.0,19.0,23.0,22.0,1.9,1.9,2.0,2.0,2.1,2.2,2.4,2.4,388.0,387.0,386.0,386.0,386.0,387.0,389.0,389.0,10.0,10.0,10.0,11.0,11.0,11.0,15.0,15.0
21.10.2021,2.0,5.0,3.0,8.0,9.0,7.0,9.0,7.0,504.0,237.0,270.0,318.0,318.0,306.0,316.0,390.0,3.0,5.0,3.0,7.0,10.0,7.0,9.0,7.0,2.2,2.1,2.0,2.0,1.9,2.0,2.0,2.0,393.0,395.0,394.0,393.0,392.0,390.0,390.0,390.0,14.0,14.0,14.0,14.0,14.0,14.0,13.0,13.0
22.10.2021,5.0,2.0,9.0,24.0,19.0,10.0,8.0,4.0,269.0,197.0,421.0,430.0,411.0,402.0,356.0,332.0,6.0,3.0,15.0,28.0,22.0,13.0,8.0,4.0,1.8,1.7,1.7,1.8,1.9,1.9,1.9,1.8,395.0,396.0,397.0,399.0,401.0,400.0,401.0,388.0,13.0,13.0,13.0,13.0,12.0,12.0,12.0,8.0
23.10.2021,8.0,9.0,9.0,27.0,23.0,31.0,27.0,23.0,505.0,438.0,473.0,426.0,444.0,432.0,431.0,429.0,8.0,15.0,14.0,27.0,32.0,35.0,36.0,35.0,1.9,1.9,1.8,2.2,2.8,3.4,3.6,3.4,414.0,416.0,418.0,420.0,425.0,417.0,419.0,420.0,11.0,10.0,10.0,9.0,8.0,10.0,11.0,10.0
24.10.2021,9.0,9.0,11.0,9.0,8.0,14.0,12.0,6.0,467.0,479.0,434.0,395.0,380.0,359.0,356.0,348.0,15.0,13.0,12.0,8.0,8.0,11.0,10.0,6.0,3.7,3.7,3.8,3.8,3.7,3.7,3.6,3.5,402.0,396.0,395.0,395.0,394.0,393.0,393.0,392.0,12.0,12.0,13.0,13.0,13.0,13.0,13.0,13.0
25.10.2021,5.0,4.0,0.0,7.0,11.0,11.0,19.0,17.0,517.0,519.0,389.5,330.0,313.0,310.0,302.0,283.0,4.0,3.0,2.0,7.0,10.0,12.0,18.0,19.0,3.0,3.0,2.9,2.9,2.8,2.7,2.6,2.5,392.0,391.0,391.0,391.0,391.0,392.0,392.0,392.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0
26.10.2021,6.0,7.0,12.0,15.0,23.0,22.0,22.0,20.0,246.0,230.0,261.0,275.0,289.0,291.0,282.0,270.0,11.0,16.0,18.0,18.0,21.0,22.0,26.0,29.0,2.3,2.3,2.3,2.3,2.3,2.4,2.5,2.5,393.0,394.0,394.0,395.0,395.0,395.0,395.0,395.0,12.0,12.0,12.0,12.0,12.0,11.0,11.0,11.0
27.10.2021,19.0,19.0,18.0,19.0,24.0,25.0,28.0,23.0,261.0,254.0,258.0,273.0,285.0,274.0,269.0,261.0,28.0,27.0,24.0,21.0,24.0,28.0,36.0,34.0,3.0,3.1,3.2,3.1,3.3,3.7,4.2,4.2,277.0,274.0,276.0,275.0,275.0,277.0,276.0,274.0,8.0,8.0,8.0,8.0,8.0,9.0,9.0,9.0
28.10.2021,7.0,4.0,3.0,14.0,8.0,6.0,5.0,20.0,243.0,229.0,513.0,467.0,411.0,272.0,209.0,225.0,9.0,5.0,11.0,16.0,12.0,6.0,6.0,22.0,3.0,2.8,2.6,2.4,2.3,2.2,2.1,2.1,275.0,275.0,275.0,275.0,275.0,275.0,275.0,275.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
29.10.2021,12.0,8.0,20.0,21.0,20.0,21.0,20.0,14.0,516.0,455.0,430.0,431.0,417.0,418.0,416.0,415.0,23.0,10.0,26.0,24.0,24.0,24.0,25.0,21.0,1.7,1.6,1.7,1.9,1.9,1.9,2.0,1.9,279.0,278.0,278.0,280.0,280.0,283.0,284.0,284.0,9.0,9.0,9.0,9.0,10.0,9.0,9.0,9.0
30.10.2021,15.0,14.0,18.0,17.0,17.0,19.0,16.0,10.0,452.0,452.0,438.0,423.0,408.0,414.0,407.0,402.0,25.0,23.0,21.0,18.0,17.0,19.0,17.0,12.0,2.1,2.2,2.2,2.1,2.0,2.1,1.9,1.8,426.0,391.0,391.0,394.0,394.0,395.0,396.0,399.0,7.0,17.0,16.0,16.0,16.0,15.0,15.0,15.0
31.10.2021,4.0,5.0,3.0,7.0,14.0,19.0,20.0,15.0,193.0,217.0,253.0,301.0,312.0,302.0,282.0,286.0,5.0,7.0,4.0,6.0,12.0,19.0,21.0,18.0,1.7,1.7,1.7,1.7,1.7,1.8,1.9,1.8,404.0,404.0,405.0,405.0,405.0,405.0,406.0,406.0,14.0,14.0,13.0,13.0,13.0,13.0,13.0,13.0
01.11.2021,14.0,22.0,23.0,23.0,22.0,20.0,17.0,21.0,442.0,442.0,436.0,427.0,418.0,409.0,398.0,428.0,18.0,28.0,25.0,25.0,24.0,23.0,20.0,30.0,1.8,2.2,2.3,2.4,2.3,2.3,2.3,2.4,406.0,428.0,434.0,434.0,405.0,400.0,399.0,403.0,13.0,7.0,7.0,6.0,13.0,14.0,14.0,14.0
02.11.2021,19.0,17.0,19.0,19.0,18.0,16.0,13.0,10.0,441.0,444.0,438.0,422.0,411.0,390.0,375.0,373.0,25.0,22.0,20.0,18.0,18.0,15.0,13.0,11.0,3.4,3.3,3.1,3.0,2.9,2.7,2.5,2.3,417.0,412.0,410.0,409.0,408.0,406.0,404.0,411.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,12.0
03.11.2021,4.0,4.0,2.0,6.0,14.0,11.0,8.0,6.0,497.0,521.0,232.0,317.0,319.0,337.0,338.0,350.0,4.0,4.0,3.0,5.0,11.0,10.0,9.0,6.0,1.8,1.7,1.7,1.8,2.0,2.1,2.2,2.2,409.0,408.0,407.0,406.0,407.0,408.0,408.0,409.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0
04.11.2021,5.0,4.0,2.0,8.0,12.0,13.0,11.0,7.0,503.0,510.0,234.0,319.0,313.0,316.0,325.0,340.0,5.0,4.0,3.0,6.0,9.0,13.0,12.0,10.0,2.3,2.4,2.5,2.6,2.6,2.7,2.7,2.7,411.0,412.0,411.0,394.0,394.0,394.0,394.0,397.0,11.0,11.0,11.0,15.0,15.0,15.0,14.0,14.0
05.11.2021,5.0,4.0,1.0,10.0,12.0,14.0,14.0,12.0,490.0,499.0,389.5,349.0,362.0,374.0,378.0,377.0,4.0,4.0,1.0,7.0,10.0,15.0,15.0,14.0,2.6,2.5,2.5,2.5,2.5,2.5,2.5,2.5,398.0,398.0,398.0,397.0,401.0,400.0,401.0,401.0,14.0,14.0,13.0,13.0,13.0,13.0,13.0,12.0
06.11.2021,5.0,5.0,6.0,6.0,6.0,5.0,5.0,4.0,444.0,441.0,433.0,386.0,359.0,348.0,370.0,352.0,6.0,7.0,7.0,7.0,6.0,5.0,5.0,4.0,2.8,2.8,2.8,2.8,2.7,2.6,2.5,2.4,401.0,400.0,399.0,399.0,399.0,399.0,399.0,400.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0
07.11.2021,7.0,7.0,7.0,8.0,7.0,6.0,8.0,7.0,447.0,450.0,423.0,372.0,363.0,376.0,381.0,378.0,10.0,11.0,9.0,7.0,7.0,6.0,7.0,7.0,2.0,2.0,1.9,1.9,1.8,1.8,1.8,1.7,402.0,402.0,402.0,402.0,402.0,402.0,402.0,401.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0
08.11.2021,7.0,5.0,6.0,10.0,9.0,13.0,14.0,11.0,410.0,404.0,405.0,396.0,406.0,413.0,397.0,424.0,7.0,6.0,4.0,10.0,11.0,17.0,18.0,16.0,1.5,1.5,1.4,1.4,1.4,1.4,1.4,1.4,397.0,398.0,398.0,398.0,398.0,396.0,396.0,395.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,10.0
09.11.2021,10.0,9.0,12.0,10.0,13.0,14.0,12.0,7.0,482.0,483.0,445.0,414.0,380.0,370.0,365.0,362.0,15.0,14.0,15.0,11.0,12.0,13.0,11.0,7.0,1.6,1.7,1.8,1.8,1.8,1.9,2.0,2.0,395.0,394.0,394.0,393.0,390.0,391.0,391.0,390.0,10.0,10.0,10.0,11.0,11.0,11.0,11.0,11.0
10.11.2021,4.0,4.0,3.0,9.0,11.0,14.0,14.0,12.0,511.0,469.0,426.0,363.0,353.0,375.0,393.0,414.0,4.0,4.0,3.0,7.0,9.0,14.0,16.0,15.0,2.4,2.4,2.5,2.5,2.5,2.5,2.4,2.4,389.0,390.0,390.0,388.0,389.0,389.0,389.0,390.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0
11.11.2021,7.0,4.0,5.0,9.0,12.0,19.0,17.0,16.0,486.0,483.0,428.0,362.0,346.0,293.0,284.0,274.0,13.0,7.0,7.0,7.0,9.0,15.0,18.0,17.0,2.6,2.6,2.5,2.4,2.3,2.3,2.3,2.2,393.0,394.0,395.0,398.0,400.0,400.0,400.0,399.0,13.0,13.0,12.0,12.0,12.0,12.0,12.0,12.0
12.11.2021,3.0,4.0,6.0,8.0,9.0,9.0,11.0,8.0,219.0,449.0,412.0,361.0,349.0,329.0,314.0,309.0,4.0,5.0,7.0,7.0,8.0,8.0,9.0,7.0,1.9,1.8,1.8,1.7,1.7,1.7,1.7,1.7,397.0,397.0,398.0,398.0,399.0,399.0,398.0,398.0,12.0,11.0,11.0,12.0,12.0,12.0,12.0,12.0
13.11.2021,7.0,7.0,8.0,16.0,20.0,21.0,21.0,18.0,441.0,480.0,444.0,410.0,411.0,406.0,410.0,419.0,8.0,11.0,11.0,18.0,22.0,25.0,27.0,25.0,1.5,1.4,1.4,1.5,1.6,1.8,2.0,2.0,399.0,399.0,400.0,400.0,399.0,400.0,389.0,390.0,11.0,11.0,11.0,11.0,11.0,10.0,8.0,8.0
14.11.2021,10.0,9.0,9.0,9.0,15.0,12.0,11.0,9.0,472.0,485.0,437.0,392.0,349.0,333.0,306.0,293.0,16.0,15.0,11.0,8.0,12.0,9.0,10.0,10.0,2.0,1.9,1.9,1.8,1.7,1.6,1.6,1.5,403.0,403.0,403.0,402.0,401.0,400.0,400.0,401.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
15.11.2021,3.0,3.0,2.0,6.0,9.0,12.0,16.0,16.0,533.0,514.0,517.0,337.0,341.0,377.0,405.0,423.0,3.0,3.0,3.0,5.0,8.0,13.0,20.0,21.0,1.4,1.3,1.3,1.3,1.2,1.2,1.3,1.4,400.0,398.0,395.0,393.0,391.0,388.0,387.0,387.0,9.0,9.0,8.0,8.0,8.0,8.0,8.0,8.0
16.11.2021,13.0,13.0,18.0,15.0,16.0,15.0,12.0,13.0,456.0,448.0,435.0,412.0,403.0,380.0,341.0,292.0,22.0,21.0,21.0,18.0,18.0,15.0,12.0,12.0,1.9,2.1,2.2,2.2,2.2,2.1,2.1,2.2,396.0,399.0,398.0,398.0,399.0,398.0,397.0,397.0,7.0,8.0,9.0,9.0,9.0,10.0,10.0,10.0
17.11.2021,13.0,12.0,10.0,7.0,12.0,10.0,11.0,12.0,255.0,260.0,263.0,271.0,313.0,312.0,319.0,421.0,20.0,19.0,14.0,7.0,7.0,8.0,11.0,15.0,2.0,1.9,1.9,1.9,1.9,1.9,2.0,2.0,398.0,398.0,397.0,396.0,395.0,394.0,393.0,390.0,10.0,10.0,9.0,9.0,9.0,9.0,9.0,9.0
18.11.2021,18.0,14.0,12.0,14.0,16.0,14.0,13.0,13.0,387.0,379.0,395.0,388.0,391.0,385.0,395.0,401.0,21.0,18.0,15.0,16.0,17.0,15.0,14.0,14.0,3.4,3.1,2.7,2.4,2.3,2.2,2.0,2.0,364.0,356.0,354.0,351.0,344.0,344.0,358.0,374.0,9.0,9.0,9.0,8.0,8.0,8.0,8.0,9.0
19.11.2021,9.0,9.0,9.0,12.0,17.0,16.0,16.0,12.0,486.0,496.0,451.0,404.0,398.0,392.0,384.0,394.0,11.0,13.0,11.0,11.0,15.0,16.0,15.0,13.0,1.8,1.8,1.9,2.0,2.1,2.1,2.1,2.1,386.0,385.0,385.0,385.0,386.0,387.0,388.0,388.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
20.11.2021,5.0,4.0,4.0,13.0,17.0,17.0,19.0,19.0,460.0,447.0,365.0,299.0,299.0,294.0,301.0,286.0,6.0,4.0,3.0,9.0,13.0,14.0,18.0,17.0,2.4,2.5,2.5,2.5,2.6,2.6,2.7,2.7,387.0,386.0,386.0,387.0,388.0,387.0,387.0,387.0,11.0,12.0,12.0,12.0,12.0,12.0,12.0,13.0
21.11.2021,15.0,14.0,14.0,16.0,20.0,24.0,24.0,22.0,259.0,250.0,259.0,288.0,297.0,293.0,293.0,276.0,21.0,21.0,18.0,16.0,18.0,21.0,24.0,30.0,2.6,2.5,2.4,2.4,2.4,2.5,2.6,2.8,388.0,388.0,389.0,390.0,391.0,392.0,392.0,392.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0
22.11.2021,2.0,4.0,7.0,9.0,16.0,18.0,15.0,15.0,333.0,440.0,380.0,367.0,352.0,357.0,355.0,355.0,3.0,5.0,8.0,10.0,16.0,21.0,19.0,20.0,2.4,2.3,2.2,2.1,2.1,2.4,2.5,2.5,393.0,393.0,393.0,394.0,394.0,352.0,348.0,348.0,12.0,12.0,12.0,12.0,12.0,8.0,7.0,8.0
23.11.2021,16.0,14.0,12.0,13.0,13.0,14.0,14.0,12.0,365.0,368.0,374.0,372.0,370.0,369.0,372.0,382.0,18.0,16.0,14.0,14.0,14.0,14.0,15.0,13.0,2.3,2.2,2.1,2.0,2.0,1.9,1.9,1.9,345.0,344.0,343.0,341.0,340.0,339.0,338.0,337.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
24.11.2021,7.0,3.0,4.0,8.0,11.0,12.0,12.0,13.0,405.0,416.0,288.0,306.0,306.0,317.0,302.0,295.0,8.0,5.0,4.0,7.0,9.0,10.0,11.0,13.0,2.1,2.1,2.1,2.1,2.0,2.0,1.9,1.8,335.0,334.0,333.0,332.0,330.0,328.0,327.0,324.0,9.0,9.0,9.0,9.0,9.0,8.0,8.0,8.0
25.11.2021,9.0,9.0,16.0,18.0,20.0,23.0,21.0,21.0,243.0,243.0,266.0,278.0,283.0,285.0,277.0,273.0,15.0,17.0,19.0,19.0,21.0,23.0,23.0,24.0,1.8,1.8,1.8,1.8,1.8,1.9,2.0,2.0,322.0,321.0,320.0,319.0,319.0,319.0,319.0,305.0,9.0,9.0,9.0,9.0,8.0,8.0,8.0,7.0
26.11.2021,21.0,22.0,24.0,26.0,28.0,27.0,29.0,33.0,265.0,263.0,262.0,267.0,272.0,276.0,271.0,266.0,32.0,33.0,31.0,29.0,30.0,31.0,36.0,42.0,2.3,2.5,2.6,2.7,2.8,2.9,3.2,3.5,299.0,296.0,296.0,294.0,290.0,288.0,288.0,286.0,7.0,7.0,7.0,7.0,7.0,8.0,8.0,8.0
27.11.2021,23.0,21.0,17.0,9.0,7.0,19.0,12.0,10.0,253.0,250.0,256.0,265.0,311.0,404.0,384.0,413.0,32.0,30.0,21.0,17.0,5.0,21.0,13.0,11.0,3.4,3.4,3.2,3.0,2.9,2.8,2.6,2.4,281.0,281.0,282.0,283.0,281.0,279.0,280.0,280.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
28.11.2021,7.0,8.0,12.0,8.0,15.0,19.0,22.0,22.0,520.0,516.0,489.0,446.0,405.0,425.0,417.0,426.0,7.0,12.0,15.0,12.0,22.0,22.0,25.0,32.0,1.8,1.7,1.6,1.5,1.5,1.7,1.9,2.2,283.0,285.0,287.0,294.0,298.0,298.0,321.0,392.0,9.0,9.0,9.0,10.0,10.0,10.0,10.0,10.0
29.11.2021,7.0,5.0,5.0,9.0,12.0,11.0,11.0,6.0,456.0,480.0,405.0,341.0,335.0,311.0,345.0,346.0,14.0,8.0,6.0,6.0,11.0,11.0,12.0,7.0,1.8,1.6,1.6,1.5,1.5,1.5,1.5,1.4,415.0,399.0,397.0,396.0,396.0,399.0,399.0,399.0,8.0,14.0,14.0,14.0,13.0,13.0,13.0,13.0
30.11.2021,6.0,6.0,11.0,15.0,17.0,17.0,14.0,8.0,478.0,458.0,426.0,404.0,396.0,386.0,372.0,373.0,7.0,9.0,13.0,15.0,17.0,19.0,14.0,10.0,1.2,1.2,1.2,1.3,1.4,1.5,1.6,1.6,393.0,391.0,395.0,397.0,401.0,397.0,401.0,402.0,8.0,8.0,8.0,7.0,7.0,8.0,8.0,11.0
01.12.2021,3.0,4.0,9.0,14.0,20.0,22.0,19.0,13.0,197.0,213.0,261.0,295.0,303.0,308.0,301.0,288.0,3.0,6.0,12.0,13.0,17.0,20.0,20.0,16.0,2.1,2.1,2.2,2.2,2.2,2.2,2.3,2.2,398.0,397.0,396.0,396.0,396.0,396.0,395.0,394.0,11.0,11.0,11.0,11.0,11.0,11.0,12.0,12.0
02.12.2021,14.0,13.0,13.0,14.0,16.0,19.0,18.0,16.0,441.0,430.0,412.0,409.0,411.0,421.0,432.0,434.0,20.0,20.0,16.0,16.0,16.0,20.0,22.0,21.0,2.0,2.0,1.9,1.8,1.9,1.9,2.0,2.0,394.0,392.0,391.0,390.0,389.0,389.0,388.0,388.0,11.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
03.12.2021,10.0,7.0,6.0,8.0,13.0,12.0,12.0,9.0,449.0,459.0,439.0,331.0,325.0,330.0,312.0,302.0,14.0,10.0,7.0,6.0,10.0,11.0,11.0,9.0,2.2,2.2,2.2,2.1,2.1,2.1,2.1,2.0,372.0,368.0,364.0,359.0,356.0,353.0,353.0,351.0,10.0,9.0,9.0,10.0,10.0,9.0,9.0,9.0
04.12.2021,3.0,3.0,10.0,13.0,17.0,17.0,20.0,17.0,187.0,259.0,256.0,293.0,300.0,297.0,286.0,294.0,3.0,6.0,13.0,13.0,16.0,19.0,24.0,21.0,1.5,1.5,1.4,1.6,1.8,2.1,2.5,2.9,342.0,340.0,339.0,379.0,380.0,383.0,385.0,386.0,9.0,9.0,9.0,17.0,16.0,16.0,15.0,15.0
05.12.2021,18.0,21.0,15.0,10.0,6.0,9.0,12.0,8.0,275.0,270.0,263.0,258.0,513.0,317.0,289.0,265.0,28.0,31.0,25.0,18.0,6.0,6.0,11.0,9.0,3.3,3.4,3.1,3.1,3.0,2.9,2.8,2.8,391.0,394.0,394.0,395.0,397.0,398.0,400.0,401.0,14.0,14.0,14.0,14.0,13.0,13.0,13.0,13.0
06.12.2021,16.0,13.0,15.0,18.0,14.0,14.0,13.0,12.0,454.0,465.0,454.0,443.0,429.0,394.0,405.0,417.0,28.0,23.0,23.0,22.0,17.0,15.0,15.0,14.0,2.5,2.4,2.4,2.3,2.3,2.3,2.3,2.2,397.0,397.0,398.0,399.0,400.0,400.0,399.0,398.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0
07.12.2021,5.0,4.0,3.0,7.0,8.0,7.0,7.0,7.0,473.0,447.0,394.0,333.0,350.0,346.0,330.0,309.0,5.0,5.0,3.0,4.0,7.0,6.0,5.0,7.0,2.0,1.9,1.9,1.9,1.9,1.9,1.9,1.9,394.0,395.0,397.0,393.0,386.0,390.0,391.0,392.0,11.0,11.0,11.0,11.0,14.0,14.0,14.0,13.0
08.12.2021,2.0,2.0,4.0,7.0,6.0,7.0,8.0,7.0,419.0,438.0,366.0,326.0,315.0,295.0,290.0,297.0,2.0,2.0,4.0,6.0,7.0,9.0,9.0,12.0,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.6,400.0,401.0,402.0,401.0,401.0,400.0,399.0,399.0,12.0,12.0,12.0,12.0,12.0,12.0,11.0,11.0
09.12.2021,4.0,4.0,1.0,6.0,12.0,12.0,13.0,10.0,290.0,504.0,389.5,350.0,338.0,349.0,353.0,346.0,3.0,4.0,1.0,4.0,9.0,11.0,15.0,13.0,1.6,1.5,1.5,1.5,1.5,1.5,1.5,1.5,401.0,400.0,399.0,398.0,398.0,399.0,400.0,401.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0
10.12.2021,4.0,4.0,3.0,7.0,12.0,16.0,16.0,12.0,321.0,262.0,275.0,304.0,328.0,299.0,305.0,317.0,4.0,3.0,3.0,7.0,12.0,20.0,18.0,13.0,1.5,1.5,1.4,1.4,1.4,1.4,1.5,1.5,402.0,402.0,401.0,400.0,399.0,397.0,395.0,398.0,10.0,10.0,10.0,10.0,10.0,10.0,12.0,11.0
11.12.2021,10.0,12.0,10.0,12.0,15.0,15.0,15.0,10.0,437.0,435.0,420.0,402.0,387.0,374.0,386.0,380.0,12.0,16.0,12.0,12.0,15.0,14.0,16.0,12.0,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,402.0,402.0,403.0,404.0,404.0,404.0,402.0,400.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
